electra_output,label,conv_output,distilbert_output,roberta_output,bert-base_output
0.33241108,4,0.31553057,0.29557818,0.32175523,0.32713807
0.35720226,4,0.35306475,0.3817482,0.33981958,0.363086
0.33409622,6,0.32978755,0.29443806,0.38176158,0.34466484
0.29976183,3,0.31533915,0.32008034,0.44900712,0.36477253
0.3129336,4,0.30896327,0.3010778,0.2925937,0.28056043
0.32548413,1,0.32173175,0.32883734,0.30780157,0.3044695
0.29530987,5,0.29617175,0.2923228,0.30273837,0.33383363
0.3170407,3,0.29234323,0.33077928,0.36392933,0.37617335
0.37173328,4,0.31276792,0.36409098,0.31726727,0.30632415
0.31434548,5,0.29584485,0.30717126,0.3034118,0.32607466
0.3696394,1,0.30665886,0.37514976,0.4625538,0.36299428
0.3064207,2,0.27412674,0.31067497,0.30437994,0.34722248
0.2507308,1,0.27850267,0.28513157,0.39247003,0.2811837
0.27290952,4,0.299276,0.2797413,0.2843725,0.27090138
0.29524824,6,0.3228686,0.27219704,0.3658628,0.32853454
0.34607232,5,0.33267385,0.3233529,0.38864473,0.32760125
0.27504477,5,0.2883716,0.27614382,0.2902725,0.33977866
0.3136829,5,0.3698508,0.32445598,0.41355586,0.3721785
0.35254395,3,0.3678833,0.31011388,0.37969035,0.33252662
0.33595604,3,0.2976869,0.34787393,0.31387442,0.3562003
0.30130565,2,0.30121145,0.31094614,0.3239221,0.31093875
0.2830686,4,0.31767604,0.3314782,0.34030947,0.31325614
0.32299215,3,0.29765484,0.35810247,0.3563444,0.29913527
0.3299221,1,0.35547164,0.3643141,0.38116455,0.3380109
0.3024634,4,0.27995712,0.30090773,0.34042975,0.32420072
0.2948614,5,0.3138364,0.24459112,0.32614067,0.4351058
0.30572832,5,0.32437965,0.31007737,0.30991948,0.29591465
0.27824798,3,0.28540242,0.39569637,0.3071702,0.334074
0.33168405,1,0.33171797,0.3163596,0.3582144,0.36473322
0.2937017,3,0.29962677,0.30021766,0.38259578,0.28244755
0.24856094,0,0.32439336,0.32154658,0.5058733,0.30655092
0.30727047,2,0.33379188,0.38129297,0.28493175,0.4867729
0.35852087,6,0.32814398,0.2999771,0.36016706,0.2760896
0.3063113,3,0.30615854,0.3486462,0.323527,0.3752171
0.28326187,3,0.33248687,0.30343747,0.3184937,0.30018038
0.34268105,5,0.3209961,0.32909796,0.3393062,0.30713615
0.2878131,3,0.31176084,0.31177074,0.3159152,0.37162983
0.41197237,5,0.29588172,0.31450823,0.3414398,0.34648335
0.26812235,6,0.30970103,0.28884086,0.34570086,0.31759748
0.2722067,2,0.31833148,0.33466926,0.29345694,0.3081199
0.32716972,4,0.33681157,0.2942762,0.29504612,0.38647676
0.3086962,4,0.29538563,0.30258593,0.27321032,0.28286985
0.36674976,6,0.3696347,0.34333295,0.33255902,0.32741576
0.31877652,3,0.3991808,0.3582039,0.39025715,0.38861802
0.35884538,0,0.36149514,0.2682717,0.294881,0.3374384
0.36509243,6,0.29599133,0.30798215,0.2978725,0.32798448
0.3164371,2,0.37274405,0.42559576,0.32065326,0.24640715
0.24431977,3,0.2990523,0.3446723,0.32428753,0.28026325
0.3033589,3,0.27304393,0.31602,0.31730863,0.27761292
0.28985527,3,0.28615773,0.34265438,0.35917318,0.31798157
0.33006787,0,0.30922493,0.30381286,0.40762833,0.3073543
0.33119118,3,0.33731014,0.319565,0.34824476,0.36947536
0.35790104,3,0.3862605,0.3559151,0.29410127,0.35599744
0.3114193,4,0.28450346,0.29538333,0.30731344,0.33717793
0.32217753,2,0.37815186,0.3658916,0.38231763,0.36720353
0.16712108,0,0.5315541,0.21415816,0.57912534,0.36492717
0.2980901,5,0.305833,0.339361,0.30140987,0.3191062
0.33391446,5,0.31511453,0.30738056,0.33090603,0.3133257
0.30018932,3,0.28713244,0.29786164,0.36282182,0.3318401
0.28499094,5,0.31133232,0.31210756,0.304403,0.3116321
0.3336546,6,0.3157095,0.3078138,0.4153095,0.31825805
0.22994274,0,0.28021404,0.27955067,0.39435053,0.28408948
0.28370634,4,0.3017896,0.3819696,0.27824783,0.36162695
0.26822448,1,0.36315343,0.2535393,0.2794467,0.3154873
0.2929148,6,0.34738588,0.35761032,0.3468251,0.30550948
0.27693057,6,0.28081012,0.3267594,0.36659774,0.31377405
0.34432372,2,0.26199743,0.32352355,0.34631547,0.33868134
0.2746998,1,0.34929976,0.3860091,0.38375592,0.34731212
0.2125287,0,0.531448,0.17802365,0.6766293,0.35027832
0.34414572,4,0.2585681,0.3406319,0.31234452,0.30457923
0.25926933,4,0.30662194,0.30249554,0.35371447,0.33350247
0.32792985,5,0.32642946,0.3218188,0.3866508,0.3537042
0.37815255,6,0.31675386,0.32219574,0.3614448,0.3409557
0.34808013,5,0.3376902,0.31026384,0.34434766,0.3180274
0.23930138,1,0.35688704,0.3530108,0.42624733,0.3422408
0.2692722,4,0.32840756,0.30664486,0.31908578,0.38093793
0.29201978,2,0.3522849,0.3479145,0.39415815,0.40874836
0.28585064,3,0.30078867,0.29715985,0.3042502,0.2729662
0.3036279,4,0.28567302,0.3363364,0.3205009,0.34447443
0.31321856,1,0.29812855,0.3090232,0.42536244,0.30650246
0.3162337,1,0.32457504,0.31606448,0.3770016,0.38173413
0.3694308,2,0.32373112,0.3365591,0.29261753,0.30122903
0.31734276,2,0.2777846,0.30368888,0.26210168,0.27169228
0.32034707,3,0.30937454,0.31413442,0.3223785,0.38961503
0.30350152,2,0.29030293,0.2832232,0.3293339,0.31906375
0.30348045,0,0.36624622,0.31113246,0.40194544,0.38432068
0.33249664,1,0.37336987,0.2534216,0.34993276,0.2850392
0.26587534,4,0.31687456,0.3088657,0.33074284,0.30638772
0.32303643,2,0.36436492,0.43677106,0.3912654,0.3304323
0.336284,1,0.27608946,0.30592126,0.30285865,0.4188521
0.39303726,4,0.33158022,0.30963722,0.380209,0.37175798
0.3218872,3,0.32385758,0.31066003,0.3104967,0.34441075
0.33480144,5,0.30605093,0.3051331,0.31246728,0.32508895
0.26364228,2,0.27906698,0.31063086,0.3113246,0.32131213
0.326959,1,0.3255627,0.31043565,0.3867639,0.28674158
0.2879551,1,0.28593993,0.263537,0.34128794,0.37426937
0.33801928,5,0.30849582,0.29510856,0.3034795,0.43136933
0.29196516,3,0.28507626,0.35979852,0.36823842,0.36193982
0.3426539,5,0.2774779,0.28519163,0.27948466,0.31996188
0.2853782,3,0.32807574,0.3064976,0.29309204,0.38307065
0.3164693,5,0.3315045,0.3342417,0.380574,0.35552812
0.33100677,2,0.29934594,0.30384395,0.2954325,0.37000775
0.3270417,3,0.27824783,0.31408262,0.40585628,0.30600685
0.26494288,1,0.4799417,0.28859928,0.6387995,0.28076702
0.30221292,2,0.3516865,0.2957752,0.33030474,0.3214812
0.28360057,4,0.32372785,0.37965655,0.3227755,0.3113111
0.33188128,2,0.32202458,0.29510838,0.36500895,0.297489
0.3247112,0,0.34488776,0.30752087,0.39178604,0.30974808
0.33962762,6,0.32175058,0.34358126,0.29832494,0.29975545
0.34733897,4,0.27949047,0.33341056,0.28219575,0.31517404
0.3440802,5,0.31405252,0.339679,0.28093532,0.37212119
0.36653042,5,0.37481478,0.3434848,0.35496965,0.3553399
0.3121118,4,0.3431584,0.3218414,0.2830653,0.34629604
0.31422576,1,0.41014946,0.34078324,0.34700212,0.36866
0.31292725,2,0.30269846,0.30845526,0.34372473,0.32593367
0.30169946,4,0.35230407,0.31040278,0.30217406,0.35641995
0.26697233,6,0.29888895,0.28580016,0.33309028,0.34575468
0.30360687,2,0.33037084,0.32651109,0.3197899,0.26107544
0.30883154,4,0.27121374,0.33230987,0.32958677,0.312605
0.3495621,3,0.30717933,0.3550579,0.4104254,0.35357368
0.2637405,0,0.48784083,0.21661559,0.7155622,0.41917413
0.35392532,3,0.4016357,0.39181805,0.40609103,0.3565075
0.33438438,1,0.3413851,0.3754675,0.43807808,0.45594287
0.27860934,4,0.3129134,0.3175182,0.33817026,0.35606492
0.3516941,5,0.30705678,0.35640267,0.32489023,0.28191707
0.33273596,2,0.3108963,0.40688953,0.36450073,0.46285018
0.34993365,6,0.3181191,0.31296512,0.32808152,0.29560167
0.23937404,1,0.31288606,0.17898214,0.27063516,0.2646771
0.3363482,1,0.37789333,0.34443742,0.37614956,0.38203079
0.28590652,3,0.35089326,0.36316106,0.3734983,0.40142444
0.3227889,1,0.3905884,0.35995445,0.3487187,0.3960625
0.25881886,6,0.5169657,0.17860311,0.16331439,0.2615746
0.3072759,2,0.34251463,0.3793688,0.3888226,0.39567614
0.2746367,4,0.2842478,0.29090554,0.32473382,0.28099662
0.32232785,5,0.3019747,0.3376365,0.33892828,0.292447
0.28893083,4,0.30471003,0.31628335,0.29197514,0.32228845
0.29042146,4,0.31710535,0.31772757,0.28198943,0.30403098
0.28033602,2,0.32543966,0.3022231,0.3002369,0.3381849
0.29245654,4,0.28954694,0.29449725,0.3521194,0.29279223
0.3091963,3,0.35379386,0.37111107,0.41880774,0.36617443
0.29164058,4,0.314665,0.3021113,0.37451318,0.3531309
0.35306755,3,0.32269907,0.29880056,0.33508644,0.31344208
0.3271415,5,0.32368267,0.31773064,0.3272623,0.28632683
0.30211177,4,0.32406124,0.3212535,0.3299342,0.31695327
0.3134422,4,0.3089421,0.32289737,0.38534462,0.2970625
0.26655743,3,0.3101611,0.2828966,0.3428227,0.34181952
0.30584615,2,0.36832342,0.33589688,0.33543062,0.3709191
0.30000052,4,0.31733832,0.29009148,0.31572598,0.3211877
0.28689536,5,0.2984805,0.33151394,0.3061105,0.38078636
0.35889626,4,0.3696763,0.3809833,0.32347995,0.35762855
0.31625694,4,0.30779862,0.37787217,0.2899525,0.28923267
0.31323403,3,0.2809661,0.3164272,0.37053034,0.36845165
0.28355685,3,0.26457503,0.27204704,0.34654477,0.32519212
0.29287606,4,0.31034335,0.3187942,0.32404563,0.31882608
0.32260492,3,0.30055004,0.30194816,0.37171197,0.30643848
0.28708792,6,0.30535147,0.29199678,0.33684677,0.3014346
0.34997562,5,0.30539167,0.29269964,0.31467712,0.33792758
0.3183097,2,0.3207074,0.346817,0.36863682,0.37966058
0.24720757,0,0.39753795,0.2836699,0.30256584,0.2614068
0.31478816,2,0.34647477,0.34686488,0.28721794,0.33872277
0.262532,5,0.27862087,0.33240247,0.3014035,0.28166288
0.25993425,1,0.30593455,0.27206853,0.35175532,0.2698688
0.31888932,1,0.3709896,0.37877858,0.3743153,0.35903236
0.2595451,3,0.3026661,0.30254537,0.425001,0.34338152
0.28933805,4,0.32027483,0.3318333,0.31703797,0.3343864
0.3035938,3,0.27994063,0.30901504,0.38200402,0.31833008
0.2978077,5,0.3277593,0.3525836,0.37109286,0.3164658
0.34976655,5,0.35145128,0.33411145,0.312327,0.3515152
0.26491034,4,0.3160081,0.29793456,0.36401716,0.40261388
0.23162231,0,0.3799458,0.31385064,0.5119887,0.35264513
0.33885315,6,0.33077586,0.30914328,0.3261296,0.33538458
0.29154554,6,0.27414393,0.3158966,0.31562996,0.31377602
0.27720156,3,0.27069363,0.32204598,0.2999481,0.34733307
0.37951896,4,0.33285406,0.2969349,0.3596648,0.34409925
0.3519415,6,0.3496277,0.33137953,0.33402196,0.31007522
0.36371896,5,0.33056185,0.29290128,0.31184435,0.343619
0.3741205,4,0.33189183,0.35279417,0.38911092,0.32151702
0.32563615,3,0.2929938,0.34233263,0.30012378,0.364991
0.32351643,5,0.28872082,0.2829945,0.34145457,0.29768375
0.36858392,2,0.32038525,0.28603545,0.32741347,0.32753336
0.36852098,4,0.36241406,0.3676652,0.41097686,0.2892335
0.3018138,5,0.27013522,0.31130108,0.3209146,0.33441815
0.30764237,2,0.37933612,0.4157874,0.3718314,0.41761792
0.33480567,5,0.32699823,0.31951427,0.34166828,0.2825797
0.28541806,6,0.29166976,0.32977402,0.36097023,0.35307816
0.34144428,2,0.29789615,0.3732003,0.42767683,0.3498273
0.3031104,1,0.31460917,0.29422098,0.30722076,0.3348115
0.2817138,5,0.32101434,0.3189466,0.33039194,0.28981617
0.31349683,5,0.28166735,0.2884247,0.3655674,0.28431982
0.37157926,6,0.31605,0.33471596,0.3366323,0.3037986
0.3078125,3,0.32512036,0.32510364,0.29615083,0.3824414
0.31994802,6,0.3081445,0.2795141,0.32062268,0.2981573
0.3337642,2,0.3654728,0.29846752,0.2949575,0.2922348
0.32202742,1,0.3268501,0.37099862,0.2937454,0.33174342
0.30022648,3,0.30498663,0.35977045,0.2799866,0.35484192
0.33147946,6,0.38858145,0.30670783,0.4019214,0.4084861
0.35796434,5,0.32745436,0.35357845,0.36340946,0.38323823
0.29964903,4,0.2979523,0.3073336,0.32863662,0.33227703
0.2659846,5,0.30989894,0.29271474,0.31891066,0.2984076
0.31493735,5,0.34198633,0.296142,0.30002975,0.3146458
0.2843159,4,0.28906944,0.29020083,0.3866751,0.2810642
0.30153754,3,0.28553852,0.2971866,0.29291412,0.27672872
0.32415673,2,0.3073865,0.3523662,0.29771504,0.2966796
0.286313,1,0.3574379,0.29743278,0.417228,0.37780118
0.30005667,2,0.29021224,0.36426392,0.37391174,0.30493578
0.34970012,6,0.31154257,0.28422248,0.33039126,0.34909287
0.29442817,5,0.29072213,0.32800972,0.36307257,0.34000438
0.312245,5,0.3036362,0.26343957,0.2993366,0.38473034
0.31773975,3,0.36530408,0.32403803,0.4173117,0.398671
0.30333984,5,0.2887562,0.2686411,0.25334534,0.3586317
0.37406537,5,0.3158499,0.3092492,0.28571755,0.31711206
0.33458725,5,0.32353327,0.3387995,0.32635853,0.3175453
0.33231878,1,0.3572986,0.29049042,0.42919523,0.31788677
0.30258346,3,0.29435128,0.26207814,0.30166972,0.3437231
0.3441089,2,0.4060706,0.3491573,0.30092984,0.37055713
0.29365182,3,0.30423304,0.3391652,0.40629742,0.37025473
0.36361608,5,0.38570312,0.31792232,0.31517947,0.30545047
0.2939446,2,0.30091488,0.32394767,0.34543592,0.3415136
0.3830559,5,0.32782745,0.30059466,0.3282204,0.32205147
0.38151777,5,0.3409527,0.3027805,0.34810707,0.31589887
0.33697426,5,0.3561413,0.34447283,0.30192232,0.38029718
0.32224494,4,0.3114195,0.3213958,0.3083894,0.36604574
0.3179663,3,0.31138188,0.3288815,0.34529468,0.34610978
0.27770725,3,0.34553647,0.35323605,0.34835473,0.31551185
0.34879744,5,0.35308495,0.318668,0.31169334,0.31814092
0.3052518,2,0.27562168,0.29511178,0.33839875,0.32827452
0.2958454,3,0.37628663,0.30003253,0.37659532,0.3502834
0.35003597,3,0.3553254,0.3438241,0.2844853,0.37251273
0.33471903,4,0.27850077,0.24836464,0.3200879,0.3614854
0.28195685,5,0.29573902,0.283661,0.32096365,0.34861767
0.28896198,6,0.31904587,0.3243124,0.31328335,0.33147603
0.24775803,0,0.5275421,0.20152959,0.6485325,0.36941957
0.25538117,0,0.516453,0.21083854,0.6453664,0.39634445
0.27890283,3,0.294622,0.35879967,0.35421085,0.4002204
0.32605138,4,0.3153506,0.35435963,0.42627522,0.3097528
0.27057868,4,0.2954136,0.33831695,0.36609745,0.31226668
0.32135883,4,0.33478218,0.312963,0.34588048,0.3282536
0.3146598,1,0.3186711,0.3301601,0.29947978,0.3119686
0.28528553,3,0.29949528,0.31426275,0.3062695,0.31746554
0.27466682,2,0.5295979,0.19109581,0.51839834,0.32481536
0.29215342,3,0.31086102,0.33499122,0.31271222,0.29243967
0.29889953,5,0.28933403,0.31898743,0.31021696,0.363878
0.36702982,2,0.3758487,0.41764697,0.32699212,0.31698686
0.36759675,1,0.35045108,0.39778417,0.41741657,0.34304678
0.35415345,2,0.35090485,0.4163877,0.4299267,0.40241638
0.3139164,3,0.30224648,0.32296628,0.31835043,0.35959303
0.36601806,1,0.37680376,0.3926573,0.43310314,0.3808363
0.33188006,1,0.33420646,0.30602065,0.4177986,0.38437468
0.27707472,3,0.31966418,0.30539942,0.35649565,0.32520202
0.27581954,1,0.30635703,0.36033952,0.34413493,0.2842201
0.32705742,4,0.38037133,0.29717028,0.30200222,0.3395392
0.3170818,3,0.29731658,0.35626924,0.34604618,0.2812795
0.2889694,2,0.2864854,0.30548355,0.3414709,0.3018156
0.3704815,6,0.30919054,0.2907784,0.28684634,0.3706792
0.36590987,3,0.29956132,0.29656863,0.43080756,0.38014263
0.29061538,2,0.30052882,0.22113541,0.3949902,0.33718073
0.28973374,5,0.305524,0.29867586,0.28038734,0.34592885
0.3170856,2,0.40006918,0.38035306,0.3332247,0.32009166
0.29558957,3,0.31953475,0.3591694,0.384286,0.32789302
0.29396272,5,0.2968141,0.34364545,0.30600676,0.41843298
0.30680186,5,0.28811124,0.29546475,0.35782638,0.3461296
0.33844286,2,0.33808807,0.36588302,0.32889885,0.36751175
0.32989,5,0.2930048,0.24530363,0.30587927,0.26673862
0.30494997,1,0.27599278,0.30243075,0.31532022,0.33215562
0.36743852,5,0.35496357,0.3102093,0.35343453,0.41275328
0.29391024,2,0.33341798,0.29751602,0.2918636,0.4602695
0.22820005,1,0.3270215,0.2230134,0.40644997,0.28466913
0.29515722,3,0.32517636,0.3111582,0.31375092,0.33261362
0.32546008,3,0.29562166,0.28380516,0.284111,0.28441504
0.33989754,6,0.29323286,0.3393438,0.37733296,0.37053397
0.34169644,1,0.39330274,0.35404783,0.3436311,0.41069046
0.36355424,6,0.332049,0.36420897,0.36239356,0.27997565
0.2591503,1,0.3398446,0.29389468,0.40792897,0.34677964
0.3406204,4,0.30956528,0.33780378,0.31339586,0.33888453
0.3316641,4,0.28606623,0.38954863,0.2948829,0.3291084
0.2753583,4,0.2861499,0.29184636,0.4175961,0.28081837
0.32572144,2,0.34103423,0.36986855,0.3609055,0.36346808
0.2815188,3,0.3292483,0.34849674,0.3167991,0.28665507
0.36875853,5,0.39185384,0.35806432,0.4108643,0.42097035
0.29176798,6,0.37047574,0.3451928,0.35121146,0.4110211
0.3165284,3,0.3914248,0.33046952,0.36626583,0.29111886
0.35096583,5,0.31497753,0.2985593,0.38082868,0.33310255
0.34926963,4,0.31746864,0.28131172,0.2783393,0.33529875
0.2578229,1,0.2760747,0.33399653,0.35227394,0.29970506
0.32787982,5,0.33153403,0.30967027,0.2769072,0.4456284
0.27037677,4,0.31626847,0.31051603,0.27756476,0.37954968
0.34981754,5,0.3489305,0.30208927,0.28417447,0.31002042
0.23927777,0,0.46821406,0.21075019,0.62881887,0.3819678
0.3568927,2,0.38404208,0.36115736,0.42428243,0.39081284
0.30096698,4,0.33351105,0.30281183,0.3170574,0.3037368
0.29301807,4,0.30497006,0.28412616,0.2634623,0.31864154
0.26911464,0,0.4825835,0.19775534,0.62380683,0.35961735
0.26760018,4,0.2744898,0.3239205,0.3482034,0.35042214
0.30865782,3,0.30782944,0.2770647,0.3318081,0.33868787
0.28431675,3,0.29770875,0.24354565,0.31110045,0.31928307
0.31654632,0,0.50369954,0.18799587,0.6525066,0.42141166
0.2570333,5,0.32605416,0.2897904,0.40972504,0.2663138
0.30928752,4,0.28149045,0.3704616,0.29532278,0.32848454
0.2630148,5,0.31721276,0.3408743,0.3308744,0.33126253
0.27859145,4,0.31185806,0.325023,0.31277603,0.33253023
0.34059748,4,0.3144425,0.33203307,0.3039615,0.3374858
0.3199842,4,0.32875416,0.2566243,0.31160963,0.34790465
0.33306995,5,0.30326784,0.30807284,0.33490208,0.33415097
0.29252586,3,0.33229017,0.28940934,0.31127733,0.32979906
0.35136658,2,0.33445603,0.30045938,0.34683633,0.29950127
0.2602719,2,0.3444257,0.3781507,0.35934272,0.32348594
0.28632227,5,0.26607087,0.38809434,0.32198378,0.32353428
0.29484734,4,0.31661823,0.27062783,0.36300737,0.34580922
0.33927685,4,0.30796435,0.32729897,0.36664462,0.30954883
0.3564409,5,0.2789701,0.33527452,0.32311508,0.30105892
0.24040519,4,0.40289238,0.1943187,0.60279524,0.31418577
0.28440586,1,0.30670545,0.20309854,0.3394873,0.33220693
0.2917439,3,0.3003692,0.33385772,0.2856558,0.2912229
0.35989073,6,0.31621644,0.29649335,0.3759483,0.3569699
0.33500805,4,0.29746518,0.2669935,0.31838897,0.35347137
0.2733302,6,0.28917378,0.26552594,0.29872388,0.34146795
0.33714437,2,0.34807256,0.31150025,0.3900804,0.40269706
0.29345635,4,0.31097168,0.27178654,0.4037115,0.27713075
0.30990806,2,0.34838906,0.32643327,0.33910048,0.36590526
0.31094277,4,0.32124528,0.36545193,0.3523447,0.31097203
0.33378634,3,0.37997046,0.32975498,0.4126057,0.32074544
0.35145366,1,0.37043583,0.33234593,0.353624,0.3609796
0.28543413,3,0.30054635,0.2899243,0.32829526,0.36379057
0.36741632,5,0.32849923,0.2736556,0.3702728,0.38241965
0.33568364,6,0.3430597,0.30938885,0.34532142,0.3460509
0.32244852,5,0.32631996,0.32244882,0.33720726,0.3967234
0.3150685,1,0.31866837,0.3736683,0.37878373,0.3805367
0.29555586,2,0.3900587,0.31200632,0.41942835,0.43480784
0.3479974,2,0.38170862,0.3515646,0.37532273,0.39661402
0.27042687,1,0.27233437,0.37988353,0.3402694,0.27325428
0.3083925,3,0.3120067,0.32837775,0.32665,0.3282384
0.31662914,4,0.38195235,0.3412314,0.3552676,0.30311418
0.32371053,5,0.2972709,0.33120993,0.3569907,0.3357159
0.30804145,3,0.36817423,0.3429363,0.33319965,0.32794625
0.3255055,3,0.34766167,0.33711988,0.37593082,0.27913392
0.28133976,4,0.29410154,0.26731893,0.33741072,0.30221817
0.3342003,1,0.30520526,0.32315704,0.31124642,0.34169036
0.29421625,6,0.31349733,0.29688305,0.33897614,0.27739516
0.30124393,3,0.30563155,0.2938425,0.33563516,0.3180921
0.33918744,2,0.39205098,0.4046513,0.36553955,0.40022832
0.32259646,2,0.36305186,0.35624278,0.3526652,0.32799116
0.25599164,2,0.29936138,0.3801401,0.35759255,0.392054
0.2881157,6,0.30515218,0.288907,0.33206898,0.33858266
0.2857401,1,0.2860788,0.29979977,0.28343204,0.33389318
0.3385576,3,0.3341858,0.33052346,0.37195888,0.39242908
0.2948985,3,0.327869,0.2870375,0.30373883,0.37906203
0.35562816,5,0.34678033,0.40555006,0.40568796,0.34634575
0.303132,3,0.28709218,0.3171592,0.31459755,0.3635995
0.2860328,5,0.3100758,0.28679425,0.3397159,0.34335378
0.27119163,4,0.29627386,0.27200553,0.3373915,0.30589947
0.27754492,3,0.28804228,0.3244314,0.29056183,0.3173751
0.28224158,6,0.3083331,0.2840347,0.41138467,0.30929318
0.27625185,1,0.29324964,0.32107538,0.35204414,0.34071738
0.26390702,6,0.32434687,0.3081006,0.32136536,0.32793856
0.3178258,2,0.4039327,0.3285702,0.40097943,0.36039853
0.2799306,5,0.3360406,0.28817263,0.32389504,0.36352056
0.23912308,0,0.5091073,0.17504725,0.57565016,0.3722321
0.30025855,4,0.329549,0.3430285,0.32879815,0.27702695
0.22892012,0,0.48664045,0.2043273,0.6886832,0.39018422
0.239063,6,0.28053352,0.30761465,0.29039654,0.297872
0.28951797,3,0.3261761,0.2983923,0.30446243,0.3573098
0.3277058,2,0.39040723,0.30745924,0.33097813,0.35595205
0.33559558,2,0.297783,0.34079373,0.39926752,0.34700117
0.3136557,4,0.29261613,0.3462002,0.32389194,0.31479737
0.26380408,4,0.3062863,0.35087746,0.3197562,0.26978478
0.29531604,3,0.3155444,0.31704575,0.36578444,0.3025248
0.37150177,1,0.41131967,0.32941696,0.36969608,0.31636444
0.3307759,5,0.30391523,0.3425995,0.33067733,0.32366946
0.33103862,5,0.29057556,0.2896556,0.3002022,0.28800696
0.30935204,4,0.30178708,0.31620482,0.30973652,0.37466094
0.3321468,3,0.30507302,0.32645246,0.3481356,0.33466655
0.34131554,2,0.31561127,0.28153744,0.33142656,0.3647047
0.3638039,2,0.37971246,0.3442404,0.44911137,0.35786578
0.3390215,3,0.31852654,0.27881455,0.36590904,0.36500657
0.2999427,4,0.27216333,0.35439318,0.30858076,0.32818115
0.29699132,0,0.47437128,0.16428216,0.7292391,0.34344858
0.30786458,6,0.3124226,0.2832989,0.31911537,0.3588209
0.37428123,6,0.29986295,0.3202715,0.3264186,0.3086793
0.2739261,5,0.28495902,0.31942075,0.34751937,0.30532998
0.29657668,2,0.29010025,0.31258008,0.31551728,0.40282834
0.29963455,0,0.5181789,0.2175147,0.6580133,0.34799635
0.29029775,4,0.26290715,0.3111346,0.34163713,0.25509736
0.3239298,4,0.3035875,0.26767436,0.34309435,0.32308426
0.35055822,1,0.33722025,0.36474958,0.3923014,0.34002465
0.35659984,5,0.29312038,0.31237566,0.3554334,0.36327237
0.28115126,3,0.29388353,0.28399912,0.40316886,0.2849309
0.34128842,5,0.28005588,0.28697821,0.29022542,0.34687918
0.283272,4,0.2936584,0.34893176,0.31584615,0.2979734
0.33916909,5,0.338439,0.30467418,0.35303858,0.32214993
0.30670905,4,0.31789726,0.38529474,0.39026973,0.29506284
0.35914016,6,0.323579,0.30085492,0.33118156,0.38071686
0.27121508,1,0.2943894,0.32385567,0.30967107,0.32830814
0.33078414,5,0.35274076,0.33439365,0.3639126,0.3540356
0.32500052,4,0.3237146,0.3548662,0.28875887,0.360599
